YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Jilaal,Gu,Hagaa,Deyr
1981,0,0,73.83,485.16,42.19,0,0,0,63.28,5.27,15.82,5.27,690.82,73.83,527.35,63.28,26.36
1982,63.28,5.27,0,21.09,0,0,0,0,0,5.27,84.38,0,179.3,68.55,21.09,0,89.65
1983,0,0,0,84.38,89.65,0,0,0,0,0,0,0,174.02,0,174.03,0,0
1984,0,0,0,52.73,0,0,0,110.74,0,15.82,15.82,0,195.12,0,52.73,110.74,31.64
1985,0,0,10.55,0,0,5.27,0,0,0,0,0,0,15.82,10.55,5.27,0,0
1986,0,0,0,0,0,0,0,0,0,105.47,5.27,26.37,137.11,0,0,0,137.11
1987,0,0,10.55,15.82,105.47,0,142.38,5.27,0,15.82,47.46,0,342.77,10.55,121.29,147.65,63.28
1988,0,0,21.09,26.37,31.64,5.27,0,0,10.55,36.91,10.55,31.64,174.02,21.09,63.28,10.55,79.1
1989,0,0,5.27,94.92,10.55,0,0,0,5.27,52.73,0,0,168.75,5.27,105.47,5.27,52.73
1990,0,0,0,200.39,5.27,0,0,0,0,152.93,116.02,68.55,543.16,0,205.66,0,337.5
1991,0,0,10.55,174.02,10.55,0,68.55,0,0,73.83,10.55,58.01,406.05,10.55,184.57,68.55,142.39
1992,0,0,0,174.02,15.82,0,0,0,0,31.64,247.85,110.74,580.08,0,189.84,0,390.23
1993,52.73,10.55,0,158.2,442.97,0,0,0,0,110.74,63.28,0,838.48,63.28,601.17,0,174.02
1994,0,0,0,79.1,94.92,0,5.27,15.82,0,84.38,116.02,5.27,400.78,0,174.02,21.09,205.67
1995,0,0,10.55,174.02,26.37,0,0,5.27,0,52.73,100.2,5.27,374.41,10.55,200.39,5.27,158.2
1996,0,0,42.19,47.46,126.56,0,0,0,0,0,26.37,5.27,247.85,42.19,174.02,0,31.64
1997,0,0,21.09,174.02,42.19,5.27,0,0,5.27,369.14,36.91,21.09,675,21.09,221.48,5.27,427.14
1998,5.27,26.37,0,84.38,5.27,0,5.27,0,0,15.82,0,0,142.38,31.64,89.65,5.27,15.82
1999,0,0,105.47,84.38,110.74,0,0,0,0,68.55,47.46,0,416.6,105.47,195.12,0,116.01
2000,0,0,0,26.37,142.38,0,0,0,0,348.05,36.91,0,553.71,0,168.75,0,384.96
2001,0,0,0,0,0,0,0,21.09,42.19,63.28,0,0,126.56,0,0,63.28,63.28
2002,0,0,0,0,10.55,0,0,0,0,89.65,121.29,0,221.48,0,10.55,0,210.94
2003,5.27,0,0,126.56,31.64,0,0,5.27,31.64,0,84.38,158.2,442.97,5.27,158.2,36.91,242.58
2004,0,0,0,5.27,0,73.83,10.55,0,10.55,84.38,52.73,0,237.3,0,79.1,21.1,137.11
2005,0,0,36.91,15.82,79.1,10.55,42.19,0,15.82,0,36.91,0,237.3,36.91,105.47,58.01,36.91
2006,36.91,5.27,0,84.38,68.55,5.27,10.55,63.28,31.64,237.3,100.2,31.64,675,42.18,158.2,105.47,369.14
2007,0,0,0,36.91,0,47.46,0,36.91,0,73.83,94.92,0,290.04,0,84.37,36.91,168.75
2008,10.55,0,5.27,274.22,21.09,47.46,31.64,0,0,158.2,226.76,0,775.2,15.82,342.77,31.64,384.96
2009,5.27,0,5.27,47.46,5.27,0,0,0,0,163.48,36.91,21.09,284.77,10.54,52.73,0,221.48
2010,0,5.27,100.2,268.95,15.82,0,0,152.93,0,31.64,0,0,574.8,105.47,284.77,152.93,31.64
2011,0,0,0,221.48,21.09,0,0,0,0,210.94,247.85,5.27,706.64,0,242.57,0,464.06
2012,0,0,0,337.5,63.28,26.37,5.27,84.38,36.91,10.55,100.2,10.55,675,0,427.15,126.56,121.3
2013,0,0,105.47,242.58,26.37,0,0,0,0,5.27,274.22,0,653.91,105.47,268.95,0,279.49
2014,0,0,10.55,168.75,73.83,0,0,10.55,10.55,189.84,84.38,36.91,585.35,10.55,242.58,21.1,311.13
2015,0,0,21.09,26.37,73.83,10.55,47.46,58.01,63.28,68.55,179.3,42.19,590.62,21.09,110.75,168.75,290.04
2016,0,0,0,152.93,42.19,0,0,0,0,0,0,0,195.12,0,195.12,0,0
2017,0,0,0,5.27,0,0,0,5.27,0,26.37,89.65,0,126.56,0,5.27,5.27,116.02
2018,0,0,0,58.01,5.27,10.55,0,52.73,0,5.27,0,0,131.84,0,73.83,52.73,5.27
2019,0,0,0,0,58.01,73.83,26.37,0,15.82,116.02,15.82,5.27,311.13,0,131.84,42.19,137.11
2020,0,0,0,10.55,395.51,137.11,195.12,121.29,316.41,31.64,31.64,0,1239.26,0,543.17,632.82,63.28
2021,0,0,0,33.64,122.66,77.61,170.98,244.44,152.45,11.5,57.25,3.46,874.01,0,233.91,567.87,72.21
