YEAR,months,precipitation,twn,Seasons,rainfall
1981,JAN,0,Afgooye,ANN,585.35
1981,JAN,0,Afgooye,Jilaal,94.92
1981,JAN,0,Afgooye,Gu',379.68
1981,JAN,0,Afgooye,Hagaa,52.73
1981,JAN,0,Afgooye,Deyr,58.01
1982,JAN,58.01,Afgooye,ANN,179.3
1982,JAN,58.01,Afgooye,Jilaal,63.28
1982,JAN,58.01,Afgooye,Gu',36.91
1982,JAN,58.01,Afgooye,Hagaa,21.1
1982,JAN,58.01,Afgooye,Deyr,58
1983,JAN,5.27,Afgooye,ANN,100.2
1983,JAN,5.27,Afgooye,Jilaal,5.27
1983,JAN,5.27,Afgooye,Gu',94.92
1983,JAN,5.27,Afgooye,Hagaa,0
1983,JAN,5.27,Afgooye,Deyr,0
1984,JAN,0,Afgooye,ANN,137.11
1984,JAN,0,Afgooye,Jilaal,0
1984,JAN,0,Afgooye,Gu',47.46
1984,JAN,0,Afgooye,Hagaa,63.28
1984,JAN,0,Afgooye,Deyr,26.37
1985,JAN,0,Afgooye,ANN,42.19
1985,JAN,0,Afgooye,Jilaal,15.82
1985,JAN,0,Afgooye,Gu',26.37
1985,JAN,0,Afgooye,Hagaa,0
1985,JAN,0,Afgooye,Deyr,0
1986,JAN,0,Afgooye,ANN,68.55
1986,JAN,0,Afgooye,Jilaal,0
1986,JAN,0,Afgooye,Gu',5.27
1986,JAN,0,Afgooye,Hagaa,0
1986,JAN,0,Afgooye,Deyr,63.27
1987,JAN,0,Afgooye,ANN,411.33
1987,JAN,0,Afgooye,Jilaal,10.55
1987,JAN,0,Afgooye,Gu',184.57
1987,JAN,0,Afgooye,Hagaa,158.2
1987,JAN,0,Afgooye,Deyr,58
1988,JAN,0,Afgooye,ANN,94.92
1988,JAN,0,Afgooye,Jilaal,15.82
1988,JAN,0,Afgooye,Gu',63.27
1988,JAN,0,Afgooye,Hagaa,0
1988,JAN,0,Afgooye,Deyr,15.82
1989,JAN,0,Afgooye,ANN,184.57
1989,JAN,0,Afgooye,Jilaal,0
1989,JAN,0,Afgooye,Gu',158.21
1989,JAN,0,Afgooye,Hagaa,0
1989,JAN,0,Afgooye,Deyr,26.37
1990,JAN,0,Afgooye,ANN,527.34
1990,JAN,0,Afgooye,Jilaal,10.55
1990,JAN,0,Afgooye,Gu',253.13
1990,JAN,0,Afgooye,Hagaa,0
1990,JAN,0,Afgooye,Deyr,263.67
1991,JAN,10.55,Afgooye,ANN,432.42
1991,JAN,10.55,Afgooye,Jilaal,42.19
1991,JAN,10.55,Afgooye,Gu',221.48
1991,JAN,10.55,Afgooye,Hagaa,58.01
1991,JAN,10.55,Afgooye,Deyr,110.74
1992,JAN,0,Afgooye,ANN,432.42
1992,JAN,0,Afgooye,Jilaal,0
1992,JAN,0,Afgooye,Gu',163.48
1992,JAN,0,Afgooye,Hagaa,0
1992,JAN,0,Afgooye,Deyr,268.95
1993,JAN,36.91,Afgooye,ANN,822.66
1993,JAN,36.91,Afgooye,Jilaal,47.46
1993,JAN,36.91,Afgooye,Gu',659.18
1993,JAN,36.91,Afgooye,Hagaa,0
1993,JAN,36.91,Afgooye,Deyr,116.01
1994,JAN,0,Afgooye,ANN,395.51
1994,JAN,0,Afgooye,Jilaal,0
1994,JAN,0,Afgooye,Gu',142.38
1994,JAN,0,Afgooye,Hagaa,26.37
1994,JAN,0,Afgooye,Deyr,226.75
1995,JAN,0,Afgooye,ANN,427.15
1995,JAN,0,Afgooye,Jilaal,73.82
1995,JAN,0,Afgooye,Gu',205.67
1995,JAN,0,Afgooye,Hagaa,10.55
1995,JAN,0,Afgooye,Deyr,137.11
1996,JAN,0,Afgooye,ANN,242.58
1996,JAN,0,Afgooye,Jilaal,63.28
1996,JAN,0,Afgooye,Gu',137.11
1996,JAN,0,Afgooye,Hagaa,0
1996,JAN,0,Afgooye,Deyr,42.18
1997,JAN,0,Afgooye,ANN,896.48
1997,JAN,0,Afgooye,Jilaal,63.28
1997,JAN,0,Afgooye,Gu',210.94
1997,JAN,0,Afgooye,Hagaa,15.82
1997,JAN,0,Afgooye,Deyr,137.7846153846154
1998,JAN,15.82,Afgooye,ANN,147.66
1998,JAN,15.82,Afgooye,Jilaal,26.37
1998,JAN,15.82,Afgooye,Gu',110.74
1998,JAN,15.82,Afgooye,Hagaa,0
1998,JAN,15.82,Afgooye,Deyr,10.54
1999,JAN,0,Afgooye,ANN,300.59
1999,JAN,0,Afgooye,Jilaal,63.28
1999,JAN,0,Afgooye,Gu',105.46
1999,JAN,0,Afgooye,Hagaa,15.82
1999,JAN,0,Afgooye,Deyr,116.01
2000,JAN,0,Afgooye,ANN,369.14
2000,JAN,0,Afgooye,Jilaal,0
2000,JAN,0,Afgooye,Gu',89.65
2000,JAN,0,Afgooye,Hagaa,5.27
2000,JAN,0,Afgooye,Deyr,274.22
2001,JAN,0,Afgooye,ANN,89.65
2001,JAN,0,Afgooye,Jilaal,0
2001,JAN,0,Afgooye,Gu',21.09
2001,JAN,0,Afgooye,Hagaa,21.09
2001,JAN,0,Afgooye,Deyr,47.47
2002,JAN,0,Afgooye,ANN,295.31
2002,JAN,0,Afgooye,Jilaal,0
2002,JAN,0,Afgooye,Gu',84.38
2002,JAN,0,Afgooye,Hagaa,0
2002,JAN,0,Afgooye,Deyr,210.94
2003,JAN,0,Afgooye,ANN,400.78
2003,JAN,0,Afgooye,Jilaal,0
2003,JAN,0,Afgooye,Gu',200.39
2003,JAN,0,Afgooye,Hagaa,0
2003,JAN,0,Afgooye,Deyr,200.39
2004,JAN,0,Afgooye,ANN,311.13
2004,JAN,0,Afgooye,Jilaal,0
2004,JAN,0,Afgooye,Gu',126.56
2004,JAN,0,Afgooye,Hagaa,0
2004,JAN,0,Afgooye,Deyr,184.57
2005,JAN,0,Afgooye,ANN,216.21
2005,JAN,0,Afgooye,Jilaal,47.46
2005,JAN,0,Afgooye,Gu',89.65
2005,JAN,0,Afgooye,Hagaa,31.64
2005,JAN,0,Afgooye,Deyr,47.46
2006,JAN,26.37,Afgooye,ANN,701.37
2006,JAN,26.37,Afgooye,Jilaal,31.64
2006,JAN,26.37,Afgooye,Gu',174.03
2006,JAN,26.37,Afgooye,Hagaa,15.82
2006,JAN,26.37,Afgooye,Deyr,479.88
2007,JAN,0,Afgooye,ANN,342.77
2007,JAN,0,Afgooye,Jilaal,0
2007,JAN,0,Afgooye,Gu',142.38
2007,JAN,0,Afgooye,Hagaa,52.74
2007,JAN,0,Afgooye,Deyr,147.66
2008,JAN,58.01,Afgooye,ANN,675
2008,JAN,58.01,Afgooye,Jilaal,63.28
2008,JAN,58.01,Afgooye,Gu',342.77
2008,JAN,58.01,Afgooye,Hagaa,15.82
2008,JAN,58.01,Afgooye,Deyr,253.13
2009,JAN,5.27,Afgooye,ANN,300.59
2009,JAN,5.27,Afgooye,Jilaal,5.27
2009,JAN,5.27,Afgooye,Gu',52.73
2009,JAN,5.27,Afgooye,Hagaa,0
2009,JAN,5.27,Afgooye,Deyr,242.58
2010,JAN,0,Afgooye,ANN,479.88
2010,JAN,0,Afgooye,Jilaal,126.56
